STATEFP20,COUNTYFP20,TRACTCE20,BLOCKCE20,GEOID20,NAME20,MTFCC20,UR20,UACE20,UATYPE20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20
"42","101","004103","1002","421010041031002",Block 1002,G5040,R,,,S,3560,0,"+39.9204412","-075.1616550"
"42","101","030100","3001","421010301003001",Block 3001,G5040,R,,,S,17159,0,"+40.0207805","-075.0903190"
"42","101","030100","5011","421010301005011",Block 5011,G5040,R,,,S,8060,0,"+40.0233013","-075.0902051"
"42","101","030100","4005","421010301004005",Block 4005,G5040,R,,,S,17784,0,"+40.0200834","-075.0908586"
"42","101","015800","3000","421010158003000",Block 3000,G5040,R,,,S,7204,0,"+39.9739578","-075.1235492"
"42","101","029300","1008","421010293001008",Block 1008,G5040,R,,,S,8353,0,"+40.0158248","-075.0891957"
"42","101","038100","1072","421010381001072",Block 1072,G5040,R,,,S,123471,0,"+40.0114708","-075.0639118"
"42","101","029400","1008","421010294001008",Block 1008,G5040,R,,,S,13880,0,"+40.0113140","-075.0828682"
"42","101","029400","3013","421010294003013",Block 3013,G5040,R,,,S,5769,0,"+40.0103046","-075.0801162"
"42","101","029400","3015","421010294003015",Block 3015,G5040,R,,,S,35243,0,"+40.0083969","-075.0808206"
"42","101","029900","2012","421010299002012",Block 2012,G5040,R,,,S,12169,0,"+40.0092716","-075.0775796"
"42","101","038000","2007","421010380002007",Block 2007,G5040,R,,,S,12796,0,"+40.0078708","-075.0772630"
"42","101","038000","1022","421010380001022",Block 1022,G5040,R,,,S,2213,0,"+40.0019094","-075.0807206"
"42","101","039002","3003","421010390023003",Block 3003,G5040,R,,,S,10731,0,"+40.0323907","-075.0928645"
"42","101","029200","2024","421010292002024",Block 2024,G5040,R,,,S,24233,0,"+40.0250354","-075.0934701"
"42","101","030100","4000","421010301004000",Block 4000,G5040,R,,,S,14470,0,"+40.0227834","-075.0928075"
"42","101","039002","4006","421010390024006",Block 4006,G5040,R,,,S,14281,0,"+40.0286203","-075.0927249"
"42","101","029200","3014","421010292003014",Block 3014,G5040,R,,,S,19113,0,"+40.0262909","-075.0917137"
"42","101","039001","2000","421010390012000",Block 2000,G5040,R,,,S,10037,0,"+40.0365923","-075.0888007"
"42","101","017701","2002","421010177012002",Block 2002,G5040,R,,,S,8135,0,"+39.9973068","-075.1133568"
"42","101","017800","2003","421010178002003",Block 2003,G5040,R,,,S,4774,0,"+39.9952151","-075.1151708"
"42","101","017800","2001","421010178002001",Block 2001,G5040,R,,,S,8157,0,"+39.9953723","-075.1136404"
"42","101","017800","3001","421010178003001",Block 3001,G5040,R,,,S,17042,0,"+39.9929070","-075.1121618"
"42","101","018801","2000","421010188012000",Block 2000,G5040,R,,,S,10800,0,"+39.9966512","-075.1112518"
"42","101","018801","3002","421010188013002",Block 3002,G5040,R,,,S,10959,0,"+39.9969667","-075.1106747"
"42","101","017800","3000","421010178003000",Block 3000,G5040,R,,,S,14198,0,"+39.9933735","-075.1112288"
"42","101","035500","2005","421010355002005",Block 2005,G5040,R,,,S,17324,0,"+40.0853910","-075.0351082"
"42","101","035500","2017","421010355002017",Block 2017,G5040,R,,,S,14731,0,"+40.0858989","-075.0321597"
"42","101","028000","2000","421010280002000",Block 2000,G5040,R,,,S,24043,0,"+40.0307253","-075.1552155"
